,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
65,シリーズ書籍一覧 23冊を配信中 ,134515,23,  ,ほったゆみ　漫画：小畑健  ,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR153060.jpg?20171117193640,https://www.ebookjapan.jp/ebj/134515/,,0,有料,
66,シリーズ書籍一覧 34冊を配信中 ,13966,34,  赤塚不二夫  ,,  フジオ・プロダクション  ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ギャグ・コメディー/帰ってきた漫画サンデー掲載作品/昭和の名作1960年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/FJO07860.jpg?20180703161053,https://www.ebookjapan.jp/ebj/13966/,,0,有料,
67,シリーズ書籍一覧 19冊を配信中 ,4451,19,  寺沢武一  ,,  エイガアルライツ  ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/ＳＦ/アクション/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SACO0160.jpg?20181004181556,https://www.ebookjapan.jp/ebj/4451/,,0,有料,
68,シリーズ書籍一覧 14冊を配信中 ,147537,14,  荒川弘  ,,  小学館  ,少年サンデー, 少年マンガ 少年マンガ/学園/大自然/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/G8100026838661.jpg?20181020213055,https://www.ebookjapan.jp/ebj/147537/,,0,有料,
69,シリーズ書籍一覧 24冊を配信中 ,132402,24,  荒木飛呂彦  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/個性派/週刊少年ジャンプ/ウルトラジャンプ/ジャンプコミックスDIGITAL/ジョジョの奇妙な冒険,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR055160.jpg?20171204230030,https://www.ebookjapan.jp/ebj/132402/,,0,有料,
70,シリーズ書籍一覧 22冊を配信中 ,10341,22,  皆川亮二　原案協力：七月鏡一  ,,  小学館  ,少年サンデー, 少年マンガ 少年マンガ/ＳＦ/アクション/学園/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHK69660.jpg?20181109170929,https://www.ebookjapan.jp/ebj/10341/,,0,有料,
71,シリーズ書籍一覧 27冊を配信中 ,134324,27,  八木教広  ,,  集英社  ,月刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/月刊少年ジャンプ/ジャンプSQ./ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR098760.jpg?20171117193638,https://www.ebookjapan.jp/ebj/134324/,,0,有料,
72,シリーズ書籍一覧 20冊を配信中 ,9072,20,  平松伸二  ,,  グループ・ゼロ  ,マンガの金字塔, 少年マンガ 長編マンガ/少年マンガ/アクション/ヒーロー/マンガの金字塔/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/GRZ43660.jpg?20181122171051,https://www.ebookjapan.jp/ebj/9072/,,0,有料,
73,シリーズ書籍一覧 58冊を配信中 ,6421,58,  ちば　てつや  ,,  ちばてつやプロダクション  ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ヒーロー/スポーツ/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/TENK0160.jpg?20170727163518,https://www.ebookjapan.jp/ebj/6421/,,0,有料,
74,【最新刊】転生したらスライムだった件　10巻,334900,11,  漫画：川上泰樹　,伏瀬　キャラクター原案：みっつばー  ,  講談社  ,月刊少年シリウス, 少年マンガ 少年マンガ/ファンタジー/シリウス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/T4100048895661.jpg?20181206172216,https://www.ebookjapan.jp/ebj/334900/,,1,有料,
