,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
10,シリーズ書籍一覧 42冊を配信中 ,19561,42,  板垣恵介  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 長編マンガ/少年マンガ/アクション/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AKT57160.jpg?20181127190306,https://www.ebookjapan.jp/ebj/19561/,,0,有料,
11,【完結済み】ダイヤのＡ　1巻,20108,47,  寺嶋裕二  ,,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/スポーツ/学園/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD564760.jpg?20181214181853,https://www.ebookjapan.jp/ebj/20108/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49050769,3,無料,2018/12/20
12,ウルトラジャンプ フリー!! 2018年12号,276452,1,  ウルトラジャンプ編集部　編  ,,  集英社  ,ウルトラジャンプ, 男性マンガ誌 少年マンガ/青年マンガ/マンガ雑誌/ウルトラジャンプ/マガジン/フリーマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Q0100048559861.jpg?20181116194613,https://www.ebookjapan.jp/ebj/276452/volume201812/,,1,有料,
13,シリーズ書籍一覧 33冊を配信中 ,10315,33,  藤田和日郎  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ファンタジー/ヒーロー/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHK66360.jpg?20181019105149,https://www.ebookjapan.jp/ebj/10315/,,0,有料,
14,【完結済み】FAIRY TAIL　1巻,21395,63,  真島ヒロ  ,,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ファンタジー/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD596560.jpg?20181213180814,https://www.ebookjapan.jp/ebj/21395/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49053589,3,無料,2018/12/27
15,シリーズ書籍一覧 22冊を配信中 ,367,22,  手塚　治虫  ,,  手塚プロダクション  ,手塚治虫漫画全集, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ミステリー・ホラー/ヒーロー/社会派/仕事/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/BLAC0160.jpg?20181101160456,https://www.ebookjapan.jp/ebj/367/,,0,有料,
16,シリーズ書籍一覧 11冊を配信中 ,390133,11,  ,白井カイウ　作画：出水ぽすか  ,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/ファンタジー/ミステリー・ホラー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Z1100046869761.jpg?20181101123659,https://www.ebookjapan.jp/ebj/390133/,,0,有料,
17,シリーズ書籍一覧 26冊を配信中 ,22704,26,  高橋ヒロシ  ,,  秋田書店  ,月刊少年チャンピオン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/学園/月刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AKT82660.jpg?20180906233246,https://www.ebookjapan.jp/ebj/22704/,,0,有料,
18,シリーズ書籍一覧 22冊を配信中 ,132079,22,  加藤和恵  ,,  集英社  ,ジャンプSQ., 少年マンガ ベストセラー/少年マンガ/アクション/ファンタジー/ジャンプSQ./ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Z1100046868161.jpg?20181101123659,https://www.ebookjapan.jp/ebj/132079/,,0,有料,
19,シリーズ書籍一覧 13冊を配信中 ,172678,13,  あだち充  ,,  小学館  ,ゲッサン, 少年マンガ 少年マンガ/ラブコメ/スポーツ/学園/ゲッサン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/G7100039821361.jpg?20181020213101,https://www.ebookjapan.jp/ebj/172678/,,0,有料,
20,シリーズ書籍一覧 14冊を配信中 ,152,14,  中沢啓治  ,,  中央公論新社  ,, 少年マンガ ベストセラー/長編マンガ/少年マンガ/社会派/人情/歴史/戦争/学習マンガ/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/GEN0160.jpg?20161128184436,https://www.ebookjapan.jp/ebj/152/,,0,有料,
21,シリーズ書籍一覧 34冊を配信中 ,8684,34,  ,森末慎二　作画：菊田洋之  ,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/スポーツ/学園/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHG79760.jpg?20181130193302,https://www.ebookjapan.jp/ebj/8684/,,0,有料,
22,【完結済み】ジョジョの奇妙な冒険 第5部 モノクロ版　1巻,132400,12,  荒木飛呂彦  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/個性派/週刊少年ジャンプ/ジャンプコミックスDIGITAL/ジョジョの奇妙な冒険,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR053060.jpg?20171117193636,https://www.ebookjapan.jp/ebj/132400/,,2,有料,
23,シリーズ書籍一覧 10冊を配信中 ,132398,10,  荒木飛呂彦  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/個性派/週刊少年ジャンプ/ジャンプコミックスDIGITAL/ジョジョの奇妙な冒険,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR050860.jpg?20171117193635,https://www.ebookjapan.jp/ebj/132398/,,0,有料,
24,【完結済み】ばらかもん　18巻,154747,18,  ヨシノサツキ  ,,  スクウェア・エニックス  ,ガンガンONLINE, 少年マンガ 少年マンガ/人情/ギャグ・コメディー/ガンガンONLINE/「ガンガン」記念特別小冊子,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J0100050459661.jpg?20181211171519,https://www.ebookjapan.jp/ebj/154747/,,3,有料,
25,シリーズ書籍一覧 20冊を配信中 ,3401,20,  ,高森　朝雄　画：ちば　てつや  ,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/アクション/ヒーロー/スポーツ/週刊少年マガジン/昭和の名作1960年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AJOE0160.jpg?20181009193958,https://www.ebookjapan.jp/ebj/3401/,,0,有料,
26,シリーズ書籍一覧 21冊を配信中 ,5225,21,  横山　光輝  ,,  潮出版社  ,希望コミックス, 少年マンガ ベストセラー/長編マンガ/少年マンガ/青年マンガ/ヒーロー/歴史/学習マンガ/希望コミックス/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KORY0160.jpg?20171221134310,https://www.ebookjapan.jp/ebj/5225/,,0,有料,
27,【完結済み】帯をギュッとね！　1巻,9693,30,  河合克敏  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/ラブコメ/ギャグ・コメディー/スポーツ/学園/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHK44160.jpg?20181211174335,https://www.ebookjapan.jp/ebj/9693/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49020421,4,無料,2018/12/25
28,シリーズ書籍一覧 59冊を配信中 ,9690,59,  蛭田達也  ,,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ラブコメ/ヒーロー/ギャグ・コメディー/学園/週刊少年マガジン/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD033260.jpg?20181008213119,https://www.ebookjapan.jp/ebj/9690/,,0,有料,
29,【最新刊】アルスラーン戦記　10巻,231864,12,  漫画：荒川弘　,田中芳樹  ,  講談社  ,別冊少年マガジン, 少年マンガ 少年マンガ/ファンタジー/週刊少年マガジン/別冊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/P6100045915161.jpg?20181112173431,https://www.ebookjapan.jp/ebj/231864/,,1,有料,
30,シリーズ書籍一覧 33冊を配信中 ,24748,33,  高橋ヒロシ  ,,  秋田書店  ,月刊少年チャンピオン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/学園/月刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AKS05460.jpg?20180906233247,https://www.ebookjapan.jp/ebj/24748/,,0,有料,
31,シリーズ書籍一覧 52冊を配信中 ,19222,52,  椎名高志  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/ＳＦ/アクション/ラブコメ/ヒーロー/ギャグ・コメディー/仕事/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/K4100040199761.jpg?20181019213031,https://www.ebookjapan.jp/ebj/19222/,,0,有料,
32,シリーズ書籍一覧 47冊を配信中 ,13629,47,  加瀬あつし  ,,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ラブコメ/ギャグ・コメディー/学園/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD357060.jpg?20181008213128,https://www.ebookjapan.jp/ebj/13629/,,0,有料,
33,【完結済み】今日から俺は!!　1巻,249273,38,  西森博之  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/ギャグ・コメディー/学園/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SN017460.jpg?20181130193302,https://www.ebookjapan.jp/ebj/249273/,,1,有料,
34,別冊少年マガジン　2019年1月号 [2018年12月7日発売],232691,58,  週刊少年マガジン編集部  ,,  講談社  ,別冊少年マガジン, 男性マンガ誌 少年マンガ/個性派/週刊少年マガジン/別冊少年マガジン/マンガ雑誌/マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E6100050011661.jpg?20181206160039,https://www.ebookjapan.jp/ebj/232691/volume112/,,1,有料,
35,【完結済み】トリコ モノクロ版　1巻,134505,46,  島袋光年  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR135660.jpg?20171117193639,https://www.ebookjapan.jp/ebj/134505/,,3,有料,
36,シリーズ書籍一覧 50冊を配信中 ,12343,50,  加藤元浩  ,,  講談社  ,月刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ミステリー・ホラー/学園/探偵・刑事/月刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD216360.jpg?20181214181852,https://www.ebookjapan.jp/ebj/12343/,,0,有料,
37,シリーズ書籍一覧 12冊を配信中 ,132399,12,  荒木飛呂彦  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/個性派/週刊少年ジャンプ/ジャンプコミックスDIGITAL/ジョジョの奇妙な冒険,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR051860.jpg?20171117193635,https://www.ebookjapan.jp/ebj/132399/,,0,有料,
38,シリーズ書籍一覧 28冊を配信中 ,134512,28,  和月伸宏  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/時代劇/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR145060.jpg?20171117193640,https://www.ebookjapan.jp/ebj/134512/,,0,有料,
39,シリーズ書籍一覧 38冊を配信中 ,167479,38,  高橋留美子  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ラブコメ/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX704060.jpg?20181020213054,https://www.ebookjapan.jp/ebj/167479/,,0,有料,
40,シリーズ書籍一覧 35冊を配信中 ,21689,35,  田辺イエロウ  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ミステリー・ホラー/学園/仕事/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX290660.jpg?20181019233029,https://www.ebookjapan.jp/ebj/21689/,,0,有料,
41,シリーズ書籍一覧 30冊を配信中 ,11033,30,  河合克敏  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/アクション/メカニック/ラブストーリー/スポーツ/学園/仕事/ギャンブル/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHM13460.jpg?20181130193302,https://www.ebookjapan.jp/ebj/11033/,,0,有料,
42,シリーズ書籍一覧 39冊を配信中 ,10930,39,  椎名高志  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/ギャグ・コメディー/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHM04760.jpg?20181130193302,https://www.ebookjapan.jp/ebj/10930/,,0,有料,
43,シリーズ書籍一覧 22冊を配信中 ,236690,22,  板垣恵介  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 長編マンガ/少年マンガ/アクション/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/ATN98160.jpg?20181127190307,https://www.ebookjapan.jp/ebj/236690/,,0,有料,
44,シリーズ書籍一覧 34冊を配信中 ,10838,34,  ,天樹征丸　漫画：さとうふみや  ,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ミステリー・ホラー/学園/探偵・刑事/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA336560.jpg?20160724002932,https://www.ebookjapan.jp/ebj/10838/,,0,有料,
45,シリーズ書籍一覧 57冊を配信中 ,13382,57,  ,伊賀大晃　漫画：月山可也  ,  講談社  ,週刊少年マガジン, 少年マンガ 長編マンガ/少年マンガ/スポーツ/学園/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD341360.jpg?20181022173934,https://www.ebookjapan.jp/ebj/13382/,,0,有料,
46,【最新刊】信長協奏曲　17巻,22493,17,  石井あゆみ  ,,  小学館  ,ゲッサン, 少年マンガ 少年マンガ/ＳＦ/歴史/時代劇/ゲッサン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J1100037460061.jpg?20181019233031,https://www.ebookjapan.jp/ebj/22493/,,4,有料,
47,シリーズ書籍一覧 45冊を配信中 ,413513,45,  川原正敏  ,,  講談社  ,月刊少年マガジン, 少年マンガ 少年マンガ/アクション/歴史/時代劇/月刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/P1100025060761.jpg?20181108174748,https://www.ebookjapan.jp/ebj/413513/,,0,有料,
48,【完結済み】四月は君の嘘　1巻,132404,11,  新川直司  ,,  講談社  ,月刊少年マガジン, 少年マンガ 少年マンガ/ラブストーリー/月刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD814460.jpg?20181213180814,https://www.ebookjapan.jp/ebj/132404/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49079994,2,無料,2018/12/27
49,シリーズ書籍一覧 22冊を配信中 ,10011,22,  ゆうきまさみ  ,,  小学館  ,少年サンデー, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ＳＦ/アクション/メカニック/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHK54660.jpg?20181018233022,https://www.ebookjapan.jp/ebj/10011/,,0,有料,
