,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
28,コウノドリ　1巻,190290,24,  鈴ノ木ユウ  ,,  講談社  ,モーニング, 青年マンガ 青年マンガ/少女コミック/レディースコミック/社会派/仕事/少女コミック 社会派/少女コミック 仕事/レディースコミック 社会派/レディースコミック 仕事/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD972960.jpg?20181213180814,https://www.ebookjapan.jp/ebj/190290/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49170882,2,無料,2018/12/27
29,はねバド！【無料お試し版】,208193,16,  濱田浩輔  ,,  講談社  ,good！アフタヌーン, 青年マンガ 青年マンガ/スポーツ/学園/アフタヌーン/good！アフタヌーン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/U7100023023461.jpg?20180920213018,https://www.ebookjapan.jp/ebj/208193/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49738879,2,有料,
30,Pumpkin Scissors　1巻,27876,22,  岩永亮太郎  ,,  講談社  ,月刊少年マガジン, 少年マンガ 少年マンガ/アクション/戦争/月刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD774860.jpg?20181205171708,https://www.ebookjapan.jp/ebj/27876/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49070458,2,無料,2018/12/19
31,［試し読み増量版］パラレルパラダイス　1巻,416992,10,  岡本倫  ,,  講談社  ,ヤングマガジン, 青年マンガ 青年マンガ/ファンタジー/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/V0100049053661.jpg?20181129190403,https://www.ebookjapan.jp/ebj/416992/volume1/branch6/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42070902,2,無料,2019/02/07
32,ハピネス　1巻,317199,9,  押見修造  ,,  講談社  ,別冊少年マガジン, 少年マンガ 少年マンガ/ミステリー・ホラー/別冊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J5100003653361.jpg?20181206175321,https://www.ebookjapan.jp/ebj/317199/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49538303,2,無料,2018/12/20
33,JIN―仁―【期間限定無料】　1巻,132113,15,  村上もとか  ,,  集英社  ,スーパージャンプ, 青年マンガ ベストセラー/青年マンガ/仕事/時代劇/スーパージャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I4100050396161.jpg?20181207213022,https://www.ebookjapan.jp/ebj/132113/volume1/branch12/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084542,2,無料,2018/12/25
34,進撃の巨人　Ｂｅｆｏｒｅ　ｔｈｅ　ｆａｌｌ　1巻,199549,16,  ,諫山創　小説,  講談社  ,月刊少年シリウス, 少年マンガ ベストセラー/少年マンガ/ＳＦ/アクション/ファンタジー/ヒーロー/個性派/シリウス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA010460.jpg?20181206175321,https://www.ebookjapan.jp/ebj/199549/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49201734,2,無料,2018/12/20
35,ハイキュー!!【期間限定無料】　1巻,132454,41,  古舘春一  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/スポーツ/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E3100049986761.jpg?20181203213018,https://www.ebookjapan.jp/ebj/132454/volume1/branch24/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080364,6,無料,2018/12/17
36,薬屋のひとりごと～猫猫の後宮謎解き手帳～　1巻,445364,3,  ,日向夏　作画：倉田三ノ路　キャラクター原案：しのとうこ  ,  小学館  ,サンデーＧＸコミックス, 少年マンガ 少年マンガ/ミステリー・ホラー/サンデーＧＸコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/P1100032861161.jpg?20181204173900,https://www.ebookjapan.jp/ebj/445364/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=40843292,1,無料,2018/12/18
37,ジョジョの奇妙な冒険 第5部 モノクロ版【期間限定無料】　1巻,132400,12,  荒木飛呂彦  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 長編マンガ/少年マンガ/アクション/ファンタジー/ミステリー・ホラー/個性派/週刊少年ジャンプ/ジャンプコミックスDIGITAL/ジョジョの奇妙な冒険,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A3100049586061.jpg?20181130193305,https://www.ebookjapan.jp/ebj/132400/volume1/branch4/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42076310,2,無料,2018/12/17
38,【期間限定　試し読み増量版】地方騎士ハンスの受難1,433003,6,  漫画：華尾ス太郎　,アマラ  ,  アルファポリス  ,, 青年マンガ 青年マンガ/アルファポリスCOMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I7100050426061.jpg?20181213190709,https://www.ebookjapan.jp/ebj/433003/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084849,1,無料,2018/12/27
