,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
86,シリーズ書籍一覧 14冊を配信中 ,483,14,  手塚　治虫  ,,  手塚プロダクション  ,手塚治虫漫画全集, 青年マンガ ベストセラー/長編マンガ/青年マンガ/社会派/歴史/昭和の名作1970年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/BUDD0160.jpg?20181101164219,https://www.ebookjapan.jp/ebj/483/,,0,有料,
87,シリーズ書籍一覧 26冊を配信中 ,9016,26,  一色まこと  ,,  講談社  ,モーニング, 青年マンガ ベストセラー/長編マンガ/青年マンガ/ファンタジー/人情/学園/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/PIAW0160.jpg?20181129174040,https://www.ebookjapan.jp/ebj/9016/,,0,有料,
88,シリーズ書籍一覧 27冊を配信中 ,23645,27,  江口夏実  ,,  講談社  ,モーニング, 青年マンガ 青年マンガ/少女コミック/ファンタジー/ギャグ・コメディー/少女コミック ファンタジー/少女コミック コメディ/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/R5100040906761.jpg?20180920183821,https://www.ebookjapan.jp/ebj/23645/,,0,有料,
89,シリーズ書籍一覧 30冊を配信中 ,6808,30,  本宮ひろ志  ,,  サード・ライン  ,, 青年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/ハードボイルド/ヒーロー/仕事,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/MOT00160.jpg?20181208213018,https://www.ebookjapan.jp/ebj/6808/,,0,有料,
90,シリーズ書籍一覧 73冊を配信中 ,16917,73,  画：かざま鋭二　作：坂田信弘  ,,  小学館  ,ビッグコミックオリジナル, 青年マンガ 長編マンガ/青年マンガ/スポーツ/仕事/ビッグコミックオリジナル,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W5100049206861.jpg?20181214173922,https://www.ebookjapan.jp/ebj/16917/,,0,有料,
91,シリーズ書籍一覧 60冊を配信中 ,24092,60,  高橋のぼる  ,,  小学館  ,ビッグコミックスピリッツ, 青年マンガ 長編マンガ/青年マンガ/アクション/仕事/探偵・刑事/ヤングサンデー/ビッグコミックスピリッツ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W5100049205361.jpg?20181214173922,https://www.ebookjapan.jp/ebj/24092/,,0,有料,
92,シリーズ書籍一覧 21冊を配信中 ,7926,21,  幸村誠  ,,  講談社  ,アフタヌーン, 青年マンガ 青年マンガ/アクション/歴史/戦争/アフタヌーン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/F0100039656461.jpg?20180822171633,https://www.ebookjapan.jp/ebj/7926/,,0,有料,
93,【最新刊】ふたりエッチ　76巻,27484,76,  克・亜樹  ,,  白泉社  ,ヤングアニマル, 青年マンガ 長編マンガ/青年マンガ/ラブストーリー/ラブコメ/ヤングアニマル/JETS COMICS/ヤングアニマルコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A5100039201461.jpg?20180828233200,https://www.ebookjapan.jp/ebj/27484/,,1,有料,
94,シリーズ書籍一覧 36冊を配信中 ,13122,36,  漫画：王欣太　,李學仁  ,  講談社  ,モーニング, 青年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/ヒーロー/歴史/時代劇/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD327460.jpg?20181020213057,https://www.ebookjapan.jp/ebj/13122/,,0,有料,
95,シリーズ書籍一覧 62冊を配信中 ,12497,62,  作：木内一雅　画：渡辺潤  ,,  講談社  ,ヤングマガジン, 青年マンガ ベストセラー/長編マンガ/青年マンガ/ＳＦ/アクション/ネオン街/ヤングマガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD241460.jpg?20181108174745,https://www.ebookjapan.jp/ebj/12497/,,0,有料,
